Country,Region,Population,Area-Sq-Mi,GDP,Literacy-Rate,Phones-per-1000,Arable-Percentage,Birthrate
Afghanistan,ASIA,31056997,647500,700,36,3.2,12.13,46.6
Bangladesh,ASIA,147365352,144000,1900,43.1,7.3,62.11,29.8
Bhutan,ASIA,2279723,47000,1300,42.2,14.3,3.09,33.65
Brunei,ASIA,379444,5770,18600,93.9,237.2,0.57,18.79
Burma,ASIA,47382633,678500,1800,85.3,10.1,15.19,17.91
Cambodia,ASIA,13881427,181040,1900,69.4,2.6,20.96,26.9
China,ASIA,1313973713,9596960,5000,90.9,266.7,15.4,13.25
East Timor,ASIA,1062777,15007,500,58.6,,4.71,26.99
Hong Kong,ASIA,6940432,1092,28800,93.5,546.7,5.05,7.29
India,ASIA,1095351995,3287590,2900,59.5,45.4,54.4,22.01
Indonesia,ASIA,245452739,1919440,3200,87.9,52,11.32,20.34
Iran,ASIA,68688433,1648000,7000,79.4,276.4,8.72,17
Japan,ASIA,127463611,377835,28200,99,461.2,12.19,9.37
North Korea,ASIA,23113019,120540,1300,99,42.4,20.76,15.54
South Korea,ASIA,48846823,98480,17800,97.9,486.1,17.18,10
Thailand,ASIA,6368481,236800,1700,66.4,14.1,3.8,35.49
Macau,ASIA,453125,28,19400,94.5,384.9,0,8.48
Malaysia,ASIA,24385858,329750,9000,88.7,179,5.48,22.86
Maldives,ASIA,359008,300,3900,97.2,90,13.33,34.81
Mongolia,ASIA,2832224,1564116,1800,97.8,55.1,0.77,21.59
Nepal,ASIA,28287147,147181,1400,45.2,15.9,21.68,30.98
Pakistan,ASIA,165803560,803940,2100,45.7,31.8,27.87,29.74
Philippines,ASIA,89468677,300000,4600,92.6,38.4,18.95,24.89
Singapore,ASIA,4492150,693,23700,92.5,411.4,1.64,9.34
Sri Lanka,ASIA,20222240,65610,3700,92.3,61.5,13.86,15.51
Taiwan,ASIA,23036087,35980,23400,96.1,591,24,12.56
Thailand,ASIA,64631595,514000,7400,92.6,108.9,29.36,13.87
Vietnam,ASIA,84402966,329560,2500,90.3,187.7,19.97,16.86
Estonia,BALTICS,1324333,45226,12300,99.8,333.8,16.04,10.04
Latvia,BALTICS,2274735,64589,10200,99.8,321.4,29.67,9.24
Lithuania,BALTICS,3585906,65200,11400,99.6,223.4,45.22,8.75
Armenia,C.W. OF IND. STATES,2976372,29800,3500,98.6,195.7,17.55,12.07
Azerbaijan,C.W. OF IND. STATES,7961619,86600,3400,97,137.1,19.63,20.74
Belarus,C.W. OF IND. STATES,10293011,207600,6100,99.6,319.1,29.55,11.16
Georgia,C.W. OF IND. STATES,4661473,69700,2500,99,146.6,11.44,10.41
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,6300,98.4,164.1,7.98,16
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,1600,97,84,7.3,22.8
Moldova,C.W. OF IND. STATES,4466706,33843,1800,99.1,208.1,55.3,15.7
Russia,C.W. OF IND. STATES,142893540,17075200,8900,99.6,280.6,7.33,9.95
Tajikistan,C.W. OF IND. STATES,7320815,143100,1000,99.4,33.5,6.61,32.65
Turkmenistan,C.W. OF IND. STATES,5042920,488100,5800,98,74.6,3.72,27.61
Ukraine,C.W. OF IND. STATES,46710816,603700,5400,99.7,259.9,56.21,8.82
Uzbekistan,C.W. OF IND. STATES,27307134,447400,1700,99.3,62.9,10.83,26.36
Albania,EASTERN EUROPE,3581655,28748,4500,86.5,71.2,21.09,15.11
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,6100,,215.4,13.6,8.77
Bulgaria,EASTERN EUROPE,7385367,110910,7600,98.6,336.3,40.02,9.65
Croatia,EASTERN EUROPE,4494749,56542,10600,98.5,420.4,26.09,9.61
Czech Republic,EASTERN EUROPE,10235455,78866,15700,99.9,314.3,39.8,9.02
Hungary,EASTERN EUROPE,9981334,93030,13900,99.4,336.2,50.09,9.72
Macedonia,EASTERN EUROPE,2050554,25333,6700,,260,22.26,12.02
Poland,EASTERN EUROPE,38536869,312685,11100,99.8,306.3,45.91,9.85
Romania,EASTERN EUROPE,22303552,237500,7000,98.4,196.9,40.82,10.7
Serbia,EASTERN EUROPE,9396411,88361,2200,93,285.8,33.35,
Slovakia,EASTERN EUROPE,5439448,48845,13300,,220.1,30.16,10.65
Slovenia,EASTERN EUROPE,2010347,20273,19000,99.7,406.1,8.6,8.98
Anguilla,LATIN AMER. & CARIB,13477,102,8600,95,460,0,14.17
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,11000,89,549.9,18.18,16.93
Argentina,LATIN AMER. & CARIB,39921833,2766890,11200,97.1,220.4,12.31,16.73
Aruba,LATIN AMER. & CARIB,71891,193,28000,97,516.1,10.53,11.03
Bahamas,LATIN AMER. & CARIB,303770,13940,16700,95.6,460.6,0.8,17.57
Barbados,LATIN AMER. & CARIB,279912,431,15700,97.4,481.9,37.21,12.71
Belize,LATIN AMER. & CARIB,287730,22966,4900,94.1,115.7,2.85,28.84
Bolivia,LATIN AMER. & CARIB,8989046,1098580,2400,87.2,71.9,2.67,23.3
Brazil,LATIN AMER. & CARIB,188078227,8511965,7600,86.4,225.3,6.96,16.56
British Virgin Is.,LATIN AMER. & CARIB,23098,153,16000,97.8,506.5,20,14.89
Cayman Islands,LATIN AMER. & CARIB,45436,262,35000,98,836.3,3.85,12.74
