EndYear,Age,Win,Minutes Played,Shots made,Shots attemped,Offensive rebounds,Defensive rebounds,Personal fouls
1985,21.6899384,1,40,5,16,1,5,2
1985,21.69267625,0,34,8,13,3,2,4
1985,21.69815195,1,34,13,24,2,2,4
1985,21.7008898,1,36,8,21,2,2,5
1985,21.7063655,0,33,7,15,3,2,4
1985,21.72279261,1,27,9,19,1,3,5
1985,21.72553046,1,33,15,22,4,4,2
1985,21.73100616,1,42,9,22,2,7,4
1985,21.73921971,1,43,18,27,2,8,4
1985,21.74469541,0,33,12,24,0,2,4
1985,21.75017112,0,44,4,17,0,5,5
1985,21.75564682,0,39,11,26,2,3,3
1985,21.76112252,0,42,11,22,4,9,3
1985,21.76659822,1,30,9,13,0,4,4
1985,21.76933607,0,41,10,24,3,3,4
1985,21.77754962,0,24,6,10,0,2,1
1985,21.78302533,0,30,9,17,1,2,5
1985,21.78576318,1,37,9,15,2,3,4
1985,21.79123888,1,42,7,13,2,0,3
1985,21.79671458,1,35,7,13,1,2,3
1985,21.80492813,1,43,8,16,1,1,5
1985,21.80766598,1,35,10,23,4,3,3
1985,21.81587953,0,37,13,28,1,7,4
1985,21.81861739,0,30,6,17,0,1,5
1985,21.82409309,0,44,12,25,2,6,4
1985,21.82683094,0,27,7,16,1,1,2
1985,21.83504449,0,45,8,20,1,2,2
1985,21.84052019,1,41,12,22,4,4,5
1985,21.84599589,1,35,12,18,1,11,3
1985,21.85968515,1,44,20,33,2,5,1
1985,21.86516085,0,39,7,18,1,3,6
1985,21.87611225,0,34,10,14,1,6,2
1985,21.88158795,1,38,9,16,0,2,4
1985,21.8843258,0,42,16,25,4,3,3
1985,21.89527721,0,42,12,24,4,2,4
1985,21.90075291,1,30,8,14,2,4,3
1985,21.90349076,0,36,10,21,4,8,5
1985,21.90896646,1,43,11,16,2,12,3
1985,21.91444216,0,44,8,17,1,6,3
1985,21.91718001,1,40,8,20,0,4,4
1985,21.92265572,0,41,15,27,2,10,5
1985,21.93086927,1,39,11,20,1,11,4
1985,21.93908282,1,37,6,15,2,2,3
1985,21.94182067,1,43,17,24,1,7,3
1985,21.95003422,1,38,11,17,0,7,3
1985,21.95277207,0,41,12,19,0,7,3
1985,21.95824778,0,37,9,16,0,6,5
1985,21.96919918,0,45,14,25,4,8,6
1985,21.97467488,0,38,8,17,3,1,6
1985,21.98836413,1,45,19,31,7,8,5
1985,21.99657769,0,37,8,20,1,6,1
1985,22,0,34,9,15,2,1,1
1985,22.0054757,0,30,6,13,4,2,5
1985,22.01368925,0,42,8,18,1,3,3
1985,22.0164271,1,32,15,20,1,4,4
1985,22.02464066,0,48,12,27,3,6,4
1985,22.02737851,0,35,8,17,1,5,3
1985,22.03285421,1,38,6,15,2,8,2
1985,22.03832991,0,41,13,21,6,8,2
1985,22.04380561,1,44,12,23,2,7,3
1985,22.04654346,1,42,13,28,2,5,2
1985,22.05201916,1,28,7,13,2,6,3
1985,22.05475702,0,38,9,21,2,4,5
1985,22.06023272,0,34,6,14,1,3,2
1985,22.06297057,1,39,11,24,3,5,2
1985,22.06844627,0,34,5,18,1,2,3
1985,22.07118412,1,42,11,15,1,8,3
1985,22.07665982,1,48,11,25,6,5,5
1985,22.08213552,0,42,11,22,2,2,3
1985,22.08487337,0,43,14,23,3,4,5
1985,22.09308693,1,43,5,17,3,6,1
1985,22.09582478,0,35,9,24,3,6,2
1985,22.10130048,1,40,13,24,4,5,5
1985,22.10677618,0,41,11,25,4,4,4
1985,22.11225188,0,42,13,19,2,3,1
1985,22.12046543,1,44,12,19,5,3,1
1985,22.12320329,1,40,12,19,1,5,5
1985,22.12867899,0,38,13,21,0,1,6
1985,22.13141684,1,43,12,18,2,5,4
1985,22.13689254,0,39,6,20,2,6,2
1985,22.14784394,0,36,11,16,2,1,3
1985,22.15058179,0,40,9,24,2,0,3
1986,22.6844627,1,39,13,26,3,3,5
1986,22.68720055,1,41,9,24,2,5,5
1986,22.6954141,1,18,6,10,0,2,1
1986,23.07118412,0,13,4,7,0,1,2
1986,23.07665982,0,14,4,16,3,1,0
1986,23.08213552,0,15,4,14,4,0,1
1986,23.08761123,0,16,7,16,2,0,3
1986,23.09034908,0,16,4,13,1,0,2
1986,23.09856263,1,19,5,12,1,2,3
1986,23.10677618,0,22,9,15,0,1,4
1986,23.10951403,1,23,10,17,1,0,2
1986,23.11772758,0,26,8,16,1,4,2
1986,23.12320329,1,28,12,19,1,4,1
1986,23.12867899,1,31,10,21,1,2,1
1986,23.13415469,1,31,10,18,1,4,3
1986,23.13689254,0,33,12,25,1,5,2
1986,23.14510609,1,37,12,36,1,4,5
1986,23.15058179,0,29,11,23,0,3,4
1987,23.70362765,1,41,15,31,2,4,2
1987,23.7063655,1,39,16,31,6,2,3
1987,23.7118412,1,44,14,31,3,5,2
1987,23.72005476,0,42,11,26,0,0,4
1987,23.72279261,1,39,17,27,3,3,2
1987,23.73100616,1,39,14,32,4,1,4
1987,23.73374401,0,39,9,25,0,4,4
1987,23.73921971,0,41,17,33,2,3,3
1987,23.75838467,1,40,14,26,1,5,2
1987,23.76112252,1,39,10,26,2,7,3
1987,23.77207392,0,41,13,31,2,7,5
1987,23.77754962,0,45,19,43,8,2,4
1987,23.78028747,0,42,11,30,3,2,3
1987,23.78850103,1,48,13,30,5,4,3
1987,23.79123888,0,40,17,33,0,3,3
1987,23.79671458,0,41,15,37,2,2,1
1987,23.79945243,0,44,18,38,5,0,4
1987,23.80766598,1,42,16,30,2,4,3
1987,23.81040383,0,39,15,25,2,2,3
1987,23.81587953,1,39,16,24,0,5,5
1987,23.81861739,0,31,3,17,0,4,2
1987,23.82683094,1,37,13,29,2,3,5
1987,23.83230664,1,39,15,27,2,1,2
1987,23.83778234,0,38,10,26,0,4,3
1987,23.84599589,1,35,18,33,4,1,2
1987,23.85147159,0,41,10,28,1,2,1
1987,23.8569473,1,36,20,29,2,2,1
1987,23.86516085,0,40,12,27,1,4,4
1987,23.8733744,0,40,13,31,6,2,2
1987,23.87611225,1,38,16,35,1,3,4
1987,23.8843258,1,38,13,23,0,2,5
1987,23.88980151,1,43,20,34,3,1,3
1987,23.89527721,1,36,8,24,1,6,3
1987,23.90896646,0,43,17,43,1,2,2
1987,23.91444216,1,44,17,34,5,5,2
1987,23.91991786,0,41,11,25,4,2,5
1987,23.92265572,1,39,11,22,2,5,2
1987,23.93086927,1,37,14,28,1,1,1
1987,23.93360712,0,27,11,20,0,0,4
1987,23.94182067,0,40,13,34,1,4,2
1987,23.94455852,0,37,11,23,1,3,3
1987,23.95003422,0,41,19,35,1,1,4
1987,23.95550992,0,44,14,39,4,1,5
1987,23.96098563,1,43,12,28,3,3,3
